TSNE1;TSNE2
48.157883;89.51655
-68.41627;78.52669
8.4127;-109.00251
82.87148;-55.747112
5.16325;-31.191591
95.26704;21.25385
74.2615;-69.21068
97.96037;18.52517
2.5750768;9.434879
-6.035825;-79.878296
-3.1787174;-15.419553
-12.066329;-20.820024
1.273924;-13.401622
3.1515803;-9.983452
-8.33347;-22.302158
41.742516;-19.309385
37.186714;70.22816
67.330154;-88.990845
65.910416;-66.36284
56.049103;13.280963
70.72734;-82.70613
3.0434828;10.447847
-14.544758;-75.61698
10.153925;-89.08747
95.926285;20.738958
43.57041;-14.770697
-2.4514713;-33.800266
51.323368;89.04291
-44.729103;100.03701
63.374763;22.613144
95.43357;20.770765
65.922806;-66.61709
-3.0640113;-15.432765
-19.465475;-82.29909
30.555975;-35.710083
84.65984;-62.6664
-15.629192;-26.330046
0.6798163;124.464386
-26.877205;-6.2088037
48.373;89.38018
-1.6514008;6.3765187
-16.60121;-72.858894
-12.8553705;-26.101366
4.4876094;6.9810963
1.8753732;-19.066635
-14.51103;-75.12384
90.28407;47.210716
-48.072567;100.10204
103.33059;-1.848654
48.105473;91.4569
1.8475416;-13.463047
23.4096;46.90469
-29.742237;-115.54313
-0.8869658;-19.625498
3.7702565;-26.841412
56.04991;13.269849
59.798172;39.16972
83.51437;-60.25798
89.458015;48.4573
48.929646;87.278725
68.83683;-86.43135
-25.251549;-25.041067
-14.577911;-32.601112
51.52271;40.916286
97.42652;20.336817
61.77994;53.08239
-25.426283;-25.726768
51.050938;18.386955
-46.15665;-5.2716913
47.60923;88.75701
70.64792;-84.88357
37.206352;-73.99693
-16.521019;-23.865156
67.285866;-87.42036
66.25474;-60.371758
65.2992;-61.768475
68.70418;-86.78001
3.242658;-30.808537
-66.86848;40.27281
2.5252311;-30.052588
-8.648493;-17.857676
-48.180035;100.711716
-5.9663477;74.33392
-5.94878;74.27954
93.00083;21.278885
1.1372231;-30.895647
-14.262874;-34.77098
95.92468;16.100012
-3.513777;-14.075335
90.02915;49.933804
-48.188026;100.700874
-4.2897005;-15.623453
-13.77867;-31.017624
35.127415;-74.90815
82.38522;14.954252
51.38558;-96.99476
85.275475;-64.88036
111.3343;-12.278388
2.0461361;7.3708954
-0.5936481;-17.34668
-36.331463;-51.85502
29.068192;-35.66856
-1.4998358;-12.996274
-11.036599;-33.924953
-37.20938;-97.84703
75.99379;-43.541126
-16.374533;-27.681824
84.77495;-63.268234
111.80456;-12.604252
-21.864689;-83.85542
-12.870968;-35.128983
15.232844;-8.980004
73.39403;-1.877877
-48.063828;99.90947
-15.900754;-79.01729
28.179976;-36.018887
46.863934;63.968475
-64.3575;13.997583
83.19576;-55.42375
-46.21573;101.07126
70.05591;69.91791
-24.005527;-30.712132
3.4338448;-13.572289
-48.17017;100.612206
-8.389987;-19.737677
47.776947;91.01103
41.36956;58.50402
4.951619;-14.618516
71.58914;5.0226135
67.913055;-87.3447
69.45086;74.05532
85.445724;-65.09825
3.1378613;10.462151
-23.439674;-81.85536
77.86522;-58.462082
-16.143656;-79.55951
-25.228943;-33.089523
70.27363;73.63174
-19.092123;-27.374578
4.870935;-12.034566
-43.20917;-29.944616
53.090557;-99.29054
-3.319679;-17.35942
49.757244;87.29206
68.1184;74.185684
-7.3965755;-21.18648
57.03412;54.957767
4.7652497;-14.139366
46.94933;44.370663
25.518938;-0.34837937
44.71734;86.147644
59.706814;39.51114
-91.2065;48.804543
-1.6995103;-14.582759
51.024525;-96.63269
44.703625;86.23345
69.27841;74.1459
98.421326;24.975792
71.71334;-15.259466
81.875854;-58.902596
-16.171793;-31.820799
-21.052383;-40.33756
3.7497299;-13.671072
2.7675538;-12.311112
97.401276;20.108814
-16.076517;-78.51842
72.42274;-47.59539
79.131294;-55.55815
-11.755484;-30.675404
-21.01476;-27.621838
-4.2907085;-15.841545
-44.304474;-49.832504
4.390111;-14.442721
84.43273;-40.18941
-45.954796;96.084816
-44.770977;100.04924
59.248768;-28.839226
-20.802368;-80.72566
-15.32923;-26.779772
1.6681805;-18.544712
90.64724;-36.813118
-10.523782;-18.221668
-17.105438;-32.273697
-15.2902775;-26.247654
6.851658;-22.647806
68.859764;71.57373
48.55568;-99.88146
-1.527229;-13.670404
-6.0924716;-80.026855
73.1292;11.893213
3.9537535;-30.03162
46.047886;89.82564
81.77212;14.639485
67.95232;73.47976
48.08774;86.58136
85.604996;-64.87461
85.35879;-64.772
27.97753;-16.577837
38.683445;-43.026066
35.382973;51.004635
-15.857887;-74.13087
84.20729;-40.288563
-44.94372;-4.936727
-15.567883;-26.14107
-20.831676;-82.8264
85.2934;-64.46357
49.792698;-98.633156
-1.6703247;4.938662
89.37618;48.446953
60.73734;11.190001
-7.7880635;-20.890057
7.2862644;-13.166302
99.50814;-48.552055
0.7949541;-17.034853
-23.317327;-25.678679
85.336876;-64.54183
-53.6271;11.692987
-63.048855;31.601181
71.57903;4.913004
-48.184143;100.692635
9.706094;-60.770855
-48.10622;101.03252
47.43288;87.10433
94.33063;20.867605
5.230633;-12.997621
-17.657007;-26.165209
83.505486;-54.702312
5.584786;102.23688
94.567085;-41.34738
71.62604;5.0401464
